documento,tema,n_frases
femina,mujer,615
femina,hogar,277
femina,patria,265
femina,religion,232
femina,educacion,180
femina,raza,131
femina,feminismo,79
femina,colonialismo,50
filipinas,mujer,316
filipinas,hogar,141
filipinas,educacion,112
filipinas,patria,90
filipinas,religion,66
filipinas,raza,25
filipinas,colonialismo,12
filipinas,feminismo,1
heraldo,mujer,593
heraldo,hogar,171
heraldo,patria,134
heraldo,educacion,116
heraldo,religion,90
heraldo,feminismo,68
heraldo,raza,56
heraldo,colonialismo,41
