Id,Label,Type
revista_heraldo_de_la_mujer,Heraldo de la Mujer,revista
revista_filipinas,Filipinas,revista
revista_femina,Fémina,revista
persona_ana_roque_de_duprey,Ana Roqué de Duprey,persona
persona_geraldine_maud_froscher,Geraldine Maud Froscher,persona
persona_josefa_aguayo_de_ventura,Josefa Aguayo de Ventura,persona
persona_alfredo_gonzalez,Alfredo González,persona
persona_margarita_de_prado,Margarita de Prado,persona
persona_helen_h_gardener,Helen H. Gardener,persona
persona_miles_poindexter,Miles Poindexter,persona
persona_carrie_chapman_catt,Carrie Chapman Catt,persona
persona_amparo_fernandez,Amparo Fernandez,persona
persona_wilson,Wilson,persona
persona_eugenio_maria_de_hostos,Eugenio María de Hostos,persona
persona_jose_de_diego,Jose de Diego,persona
persona_carmela_eulate_sanjurjo,Carmela Eulate Sanjurjo,persona
persona_carlota_mendez,Carlota Mendez,persona
persona_catherine_breshkovsky,Catherine Breshkovsky,persona
persona_trina_padilla_de_sanz,Trina Padilla de Sanz,persona
persona_margarita_perez_de_celis,Margarita Perez de Celis,persona
persona_ben_b_lindsey,Ben B. Lindsey,persona
persona_lloyd_george,Lloyd George,persona
persona_pedro_giusti,Pedro Giusti,persona
persona_rafael_del_valle_atiles,Rafael del Valle Atiles,persona
persona_dolores_bolio,Dolores Bolio,persona
persona_federico_urbach,Federico Urbach,persona
persona_milagros_benet_de_newton,Milagros Benet de Newton,persona
persona_constancia_poblete,Constancia Poblete,persona
persona_francisca_gesmundo,Francisca Gesmundo,persona
persona_rosario_lam,Rosario Lam,persona
persona_jose_rizal,José Rizal,persona
persona_charles_gilman,Charles Gilman,persona
persona_dr_witmer,Dr. Witmer,persona
persona_margaret_t_maguire,Margaret T. Maguire,persona
persona_mrs_j_lewis_crozer,Mrs. J. Lewis Crozer,persona
persona_daniel_lesueur,Daniel Lesueur,persona
persona_felisberta_soliongko,Felisberta Soliongko,persona
persona_pura_villanueva,Pura Villanueva,persona
persona_pilar_j_lazaro,Pilar J. Lázaro,persona
persona_elena_matintiman,Elena Matintiman,persona
persona_florinda_ligaya,Florinda Ligaya,persona
persona_elizabeth_barrett_browning,Elizabeth Barrett Browning,persona
persona_charles_kingsley,Charles Kingsley,persona
persona_rebecca_parish,Rebecca Parish,persona
persona_carmen_farinas,Carmen Fariñas,persona
persona_fabian_vidal,Fabián Vidal,persona
persona_matilde_montoya,Matilde Montoya,persona
persona_gertrude_dreisbach,Gertrude Dreisbach,persona
persona_rose_dudley,Rose Dudley,persona
persona_mr_s_b_johnston,Mr. S. B. Johnston,persona
persona_petronila_angelica_gomez,Petronila Angélica Gómez,persona
persona_consuelo_montalvo_de_frias,Consuelo Montalvo de Frías,persona
persona_maria_l_angelis_de_canino,María L. Angelis de Canino,persona
persona_vetilio_valera_reyes,Vetilio Valera Reyes,persona
persona_patin_maceo,Patín Maceo,persona
persona_fabio_fiallo,Fabio Fiallo,persona
persona_miguel_a_guerrero_r,Miguel A. Guerrero R.,persona
persona_m_alfaro_reyes,M. Alfaro Reyes,persona
persona_b_portela_alvarez,B. Portela Alvarez,persona
persona_jose_martinez_conde,José Martinez Conde,persona
persona_natalia_garcia,Natalia García,persona
persona_eduvigis_rosas,Eduvigis Rosas,persona
persona_evangelina_rodriguez,Evangelina Rodriguez,persona
persona_armando_oscar,Armando Oscar,persona
persona_emilio_a_morel,Emilio A. Morel,persona
persona_trina_moya_de_vasquez,Trina Moya de Vasquez,persona
persona_sebastian_leite_de_vasconcellos,Sebastian Leite de Vasconcellos,persona
persona_mariblanca_sabas_aloma,Mariblanca Sabas Alomá,persona
persona_juana_de_ibarbourou,Juana de Ibarbourou,persona
persona_tulio_m_cestero,Tulio M. Cestero,persona
persona_mario_caminero_sanchez,Mario Caminero Sanchez,persona
persona_luis_c_del_castillo,Luis C. del Castillo,persona
persona_elena_arizmendi,Elena Arizmendi,persona
persona_carmen_de_burgos,Carmen de Burgos,persona
persona_federico_henriquez_y_carvajal,Federico Henriquez y Carvajal,persona
persona_enriqueta_maggiolo_de_cruzado,Enriqueta Maggiolo de Cruzado,persona
persona_juana_borrero,Juana Borrero,persona
persona_maximo_gomez,Maximo Gomez,persona
persona_juan_bta_vicini_burgos,Juan Bta. Vicini Burgos,persona
persona_joaquin_s_inchaustegui,Joaquin S. Inchaustegui,persona
persona_ledo_julio_coiscou,Ledo. Julio Coiscou,persona
persona_froilan_turcios,Froilan Turcios,persona
persona_jose_ramon_lopez,Jose Ramon Lopez,persona
persona_felipe_de_j_espinosa,Felipe de J. Espinosa,persona
persona_jose_ingenieros,José Ingenieros,persona
persona_juan_isidro_jimenes_grullon,Juan Isidro Jimenes Grullon,persona
persona_eugenio_deschamps,Eugenio Deschamps,persona
persona_aristides_garcia_mella,Aristides Garcia Mella,persona
persona_delia_weber,Delia Weber,persona
persona_mignon_coiscou_henriquez,Mignon Coiscou Henriquez,persona
persona_fray_venancio_de_ecija,Fray Venancio de Ecija,persona
persona_rafael_alburquerque,Rafael Alburquerque,persona
persona_ledo_porfirio_herrera,Ledo. Porfirio Herrera,persona
persona_juan_a_hernandez,Juan A. Hernández,persona
persona_cesar_iglesias,Cesar Iglesias,persona
